SITE,AGENCY,CITY,STATE,UTM_N,UTM_E,LATITUDE_N,LONGITUDE_W,BASE_HT_M,TOWER_HT_M,ANT_HT_M,SONDE,REGION,EQP,halfbeam,beamwidth(degrees)
I104,Indonesia,Medan,,,,3.5397,98.6372,30,23,53,,,,0.008727,1
ADAR,Australia,Darwin,,8622152.99,709230.07,-12.457,130.925,,,51,,,,,
IMS,Israel,Tel Aviv,,3542650.38,671394.51,32.00699997,34.81455994,35,15,50,,,,0.008464847,0.97
MER,Israel,Meron,,3653466.06,725725.84,32.9962701,35.41596008,,,1214,,,,,
RAM,Israel,Ramon,,3392443.43,670632.61,30.6525,34.7808,,,868,,,,,
WBI,Canada,Britt,ONTARIO,,,45.79313,-80.53378,190,27.5,217.5,,,,0.005410521,0.62
WMB,Canada,Lac Castor,QUEBEC,,,48.57542,-70.66732,801,20,821,,,,0.009599311,1.1
WVY,Canada,Villeroy,QUEBEC,,,46.44956,-71.91367,100,20.3,120.3,,,,0.009599311,1.1
WMN,Canada,McGill,QUEBEC,,,45.42414,-73.93744,46,30,76,,,,0.00741765,0.85
XAM,Canada,Val d'Irene,QUEBEC,,,48.48055,-67.60089,716,15.5,731.5,,,,0.005410521,0.62
XGO,Canada,Gore,NOVA SCOTIA,,,45.09853,-63.70431,219,21.5,240.5,,,,0.005410521,0.62
XLA,Canada,Landrienne,QUEBEC,,,48.55142,-77.80804,394,26.5,420.5,,,,0.009599311,1.1
XMB,Canada,Marion Bridge,NOVA SCOTIA,,,45.94952,-60.20541,104,20.4,124.4,,,,0.009599311,1.1
XNC,Canada,Chipman,NEW BRUNSWICK,,,46.22211,-65.69917,103,23.1,126.1,,,,0.009599311,1.1
XTI,Canada,Timmins,ONTARIO,,,49.28149,-81.79384,245,22.1,267.1,,,,0.009599311,1.1
WKR,Canada,KING CITY,ONTARIO,4871547.25,613639.05,43.988275,-79.582881,360,30.5,390.5,,,,0.005410521,0.62
WSO,Canada,EXETER,ONTARIO,4802195.34,469169.42,43.3719902,-81.3805542,303,23.5,326.5,,,,0.005410521,0.62
XFT,Canada,FRANKTOWN,ONTARIO,4988109.75,412088.25,45.04098892,-76.11621094,145,21.5,166.5,,,,0.005410521,0.62
CAN,Mexico,CANCUN,QUINTANA ROO,,,21.03,-86.85,10,5,15,,,,0.00872665,1
SAB,Mexico,SABANCUY,CAMPECHE,,,18.97,-91.17,,,0,,,,,
JFK,TDWR,NEW YORK,NY,4493724,594753.96,40.588889,-73.880278,2.004,30,32.004,,,,0.008464847,0.97
DCA,TDWR,CLINTON,MD,4291861,329525,38.759,-76.962,72.413,30,102.413,,,,0.008464847,0.97
BWI,TDWR,BALTIMORE,MD,4328028,359030,39.09,-76.63,55.5256,35,90.5256,,,,0.008464847,0.97
PHL,TDWR,PHILADELPHIA,PA,4422099,494106,39.949,-75.069,11.3296,35,46.3296,,,,0.008464847,0.97
NPOL,NASA,BERLIN,MD,4235016,470117,38.26268,-75.341583,11,18,29,,,,,
TOGA,NASA,WALLOPS ISLAND,VA,4189842,454893,37.854919,-75.512756,,,0,,,,,
ABC,FAA,ANCHORAGE,AK/Bethel,6743040,343446,60.791944,-161.87639,49.07,5,54.07,,BETHEL FAA (RDA 1),RDA,0.008464847,0.97
ABC,FAA,ANCHORAGE,AK/Bethel,6743040,343446,60.791944,-161.87639,49.07,5,54.07,,BETHEL FAA (RDA 2),RDA,0.008464847,0.97
ABR,NWS,ABERDEEN,SD/Aberdeen,5033760,545892,45.455833,-98.413056,396.85,20,416.85,,ABERDEEN,RDA,0.008464847,0.97
ABX,NWS,ALBUQUERQUE,NM/Albuquerque,3891170,333861,35.149722,-106.82389,1789.18,20,1809.18,,ALBUQUERQUE,RDA,0.008464847,0.97
ACG,FAA,JUNEAU,AK/Sitka,6301120,467727,56.852778,-135.52917,63.09,15,78.09,,SITKA FAA (RDA 1),RDA,0.008464847,0.97
ACG,FAA,JUNEAU,AK/Sitka,6301120,467727,56.852778,-135.52917,63.09,15,78.09,,SITKA FAA (RDA 2),RDA,0.008464847,0.97
AEC,FAA,FAIRBANKS,AK/Nome,7154030,485835,64.511389,-165.295,17.68,5,22.68,,NOME FAA (RDA 1),RDA,0.008464847,0.97
AEC,FAA,FAIRBANKS,AK/Nome,7154030,485835,64.511389,-165.295,17.68,5,22.68,,NOME FAA (RDA 2),RDA,0.008464847,0.97
AHG,FAA,ANCHORAGE,AK/Nikiski,6733380,589927,60.725833,-151.35139,73.76,30,103.76,,KENAI FAA (RDA 2),RDA,0.008464847,0.97
AHG,FAA,ANCHORAGE,AK/Nikiski,6733380,589927,60.725833,-151.35139,73.76,30,103.76,,KENAI FAA (RDA 1),RDA,0.008464847,0.97
AIH,FAA,ANCHORAGE,AK/Middleton Island,6591640,539503,59.461389,-146.30306,20.42,15,35.42,,MIDDLETON ISLAND (RDA 2),RDA,0.008464847,0.97
AIH,FAA,ANCHORAGE,AK/Middleton Island,6591640,539503,59.461389,-146.30306,20.42,15,35.42,,MIDDLETON ISLAND (RDA 1),RDA,0.008464847,0.97
AKC,FAA,ANCHORAGE,AK/King Salmon,6506790,637440,58.679444,-156.62944,19.2,20,39.2,,KING SALMON FAA (RDA 2),RDA,0.008464847,0.97
AKC,FAA,ANCHORAGE,AK/King Salmon,6506790,637440,58.679444,-156.62944,19.2,20,39.2,,KING SALMON FAA (RDA 1),RDA,0.008464847,0.97
